inspection_id,dba_name,address,raw_license,resolved_license,fix_status,candidate_licenses
251093,HERITAGE INTERNATIONAL CHRISTIAN CHURCH CHAPEL LO,5320 W NORTH AVE,0,,unresolved,
160407,ANNUNCIATION GREEK ORTHODOX CHURCH,1017 N LA SALLE DR,0,,unresolved,
251011,ST STANISLAUS B&M CHURCH,5352 W BELDEN AVE,0,,unresolved,
205361,CHURRO FACTORY,600 E GRAND AVE,0,,ambiguous,2049340;2423155
205359,AMERICA'S DOG,600 E GRAND AVE,0,,ambiguous,2261910;2262007;2470209
205358,AMERICA'S DOG,600 E GRAND AVE,0,,ambiguous,2261910;2262007;2470209
114508,Ben and Jerry's (Navy Pier),600 E GRAND AVE,0,,unresolved,
205360,CHURRO FACTORY,600 E GRAND AVE,0,,ambiguous,2049340;2423155
205362,COMPLETELY NUTS,600 E GRAND AVE,0,,ambiguous,2333366;2333367;2464968
114510,Ryba's Fudge Shops Inc,600 E GRAND AVE,0,,unresolved,
250853,BEAUTIFUL ZION MISSIONARY BAPTIST CHURCH,1406 W 64TH ST,0,,unresolved,
250869,RHEMA REVEAL,6843 S RACINE AVE,0,,unresolved,
250859,BELIEVE IN THINE HEART MINISTRIES,6000 S ASHLAND AVE,0,,unresolved,
250823,Dippin' Dots At Navy Pier,600 E GRAND AVE,0,,unresolved,
88411,ST. ANDREW'S GREEK ORTHODOX CHURCH,5649 N Sheridan RD,0,,unresolved,
250795,The Inner Voice,2678 W WASHINGTON ST,0,,unresolved,
250904,FARMER'S MARKET,3252 N BROADWAY,0,,unresolved,
205353,COMPLETELY NUTS,600 E GRAND AVE,0,,ambiguous,2333366;2333367;2464968
114502,Dippin' Dots At Navy Pier,600 E GRAND AVE,0,,unresolved,
229453,OLD ST. PATRICK'S CHURCH,700 W ADAMS ST,,,unresolved,
250665,St. Vincent De Paul Church,1010 W WEBSTER AVE,0,,unresolved,
120488,The Inner Voice,2678 W WASHINGTON ST,0,,unresolved,
60550,ST.PANCRATIUS,2957 W 40TH PL,0,,unresolved,
120483,The Inner Voice,2678 W WASHINGTON ST,0,,unresolved,
